英単語,日本語意味
abandon,放棄します
ability,能力
able,できます
abortion,中絶
about,約
above,上記
abroad,海外へ
absence,不在
absolute,絶対の
absolutely,全く
absorb,吸収する
abuse,乱用
academic,アカデミック
accept,受け入れます
access,アクセス
accident,事故
accompany,添えます
accomplish,成し遂げます
according,従っ
account,アカウント
accurate,正確
accuse,訴えます
achieve,成し遂げる
achievement,成果
acid,酸
acknowledge,認める
acquire,取得
across,横切って
act,行為
action,アクション
active,アクティブ
activist,活動家
activity,アクティビティ
actor,俳優
actress,女優
actual,実際の
actually,実際
ad,広告
adapt,適応する
add,追加
addition,添加
additional,追加
address,住所
adequate,十分な
adjust,調節します
adjustment,調整
administration,行政
administrator,管理者
admire,賞賛
admission,入場
admit,認めます
adolescent,思春期
adopt,採用
adult,大人
advance,前進
advanced,高度
advantage,利点
adventure,冒険
advertising,広告
advice,助言
advise,アドバイス
adviser,顧問
advocate,提唱する
affair,事件、出来事
affect,影響を及ぼす
afford,与えます
afraid,恐れ
African,アフリカの
African-American,アフリカ系アメリカ人
after,後に
afternoon,午後
again,再び
against,に対して
age,年齢
agency,代理店
agenda,議題
agent,エージェント
aggressive,アグレッシブ
ago,前
agree,一致します
agreement,契約
agricultural,農業の
ah,ああ
ahead,先に
aid,援助
aide,副官
AIDS,AIDS
aim,目的
air,空気
aircraft,航空機
airline,エアライン
airport,空港
album,アルバム
alcohol,アルコール
alive,生きています
all,すべて
alliance,アライアンス
allow,許します
ally,味方
almost,ほとんど
alone,一人で
along,沿って
already,既に
also,さらに
alter,ALTER
alternative,選択肢
although,であるが
always,常に
AM,AM
amazing,素晴らしいです
American,アメリカン
among,間で
amount,量
analysis,分析
analyst,アナリスト
analyze,分析します
ancient,古代
and,そして
anger,怒り
angle,角度
angry,怒りました
animal,動物
anniversary,記念日
announce,アナウンス
annual,毎年の
another,別の
answer,回答
anticipate,予想します
anxiety,不安
any,どれか
anybody,誰でも
anymore,もはや
anyone,誰でも
anything,何でも
anyway,とにかく
anywhere,どこでも
apart,別として
apartment,アパート
apparent,見かけ上
apparently,明らかに
appeal,アピール
appear,現れる
appearance,外観
apple,林檎
application,応用
apply,適用します
appoint,任命します
appointment,任命
appreciate,感謝する
approach,アプローチ
appropriate,適切な
approval,承認
approve,認めます
approximately,約
Arab,アラブ
architect,建築家
area,範囲
argue,論じます
argument,引数
arise,生じます
arm,腕
armed,武装しました
army,軍
around,周りに
arrange,アレンジ
arrangement,配置
arrest,逮捕
arrival,到着
arrive,着きます
art,アート
article,論文
artist,アーティスト
artistic,芸術的
as,なので
Asian,アジアの
aside,さておき
ask,頼みます
asleep,眠っています
aspect,側面
assault,暴行
assert,主張する
assess,評価します
assessment,評価
asset,資産
assign,割当
assignment,割り当て
assist,支援する
assistance,援助
assistant,アシスタント
associate,仲間、同僚
association,協会
assume,仮定
assumption,仮定
assure,保証
at,に
athlete,アスリート
athletic,アスレチック
atmosphere,雰囲気
attach,アタッチ
attack,攻撃
attempt,試み
attend,出席
attention,注意
attitude,姿勢
attorney,代理人
attract,引き付けます
attractive,魅力的
attribute,属性
audience,聴衆
author,著者
authority,権限
auto,オート
available,利用できます
average,平均
avoid,避ける
award,賞
aware,気がついて
awareness,意識
away,先に
awful,酷いです
baby,赤ちゃん
back,バック
background,バックグラウンド
bad,悪い
badly,ひどく
bag,バッグ
bake,焼く
balance,残高
ball,玉
ban,禁止
band,バンド
bank,バンク
bar,バー
barely,かろうじて
barrel,たる
barrier,バリア
base,ベース
baseball,野球
basic,基本的な
basically,基本的に
basis,基礎
basket,バスケット
basketball,バスケットボール
bathroom,バスルーム
battery,電池
battle,戦い
be,されます
beach,ビーチ
bean,豆
bear,くま
beat,ビート
beautiful,綺麗な
beauty,美しさ
because,なぜなら
become,なります
bed,ベッド
bedroom,ベッドルーム
beer,ビール
before,前
begin,ベギン
beginning,初め
behavior,動作
behind,後ろに
being,であること
belief,信念
believe,信じます
bell,ベル
belong,属する
below,未満
belt,ベルト
bench,ベンチ
bend,曲がり
beneath,下に
benefit,ベネフィット
beside,横
besides,さらに
best,ベスト
bet,ベット
better,よりよいです
between,の間に
beyond,超えて
Bible,聖書
big,大きい
bike,自転車
bill,ビル
billion,十億
bind,練る
biological,生物学
bird,鳥
birth,誕生
birthday,お誕生日
bit,ビット
bite,一口
black,黒
blade,刃
blame,責め
blanket,毛布
blind,ブラインド
block,ブロック
blood,血液
blow,ブロー
blue,青い
board,ボード
boat,ボート
body,体
bomb,爆弾
bombing,爆撃
bond,つなぐ
bone,骨
book,本
boom,ブーム
boot,ブート
border,境界
born,生まれ
borrow,かりて
boss,ボス
both,どちらも
bother,煩わします
bottle,ボトル
bottom,ボトム
boundary,境界
bowl,丼鉢
box,ボックス
boy,男の子
boyfriend,彼氏
brain,脳
branch,ブランチ
brand,ブランド
bread,パン
break,ブレーク
breakfast,朝ごはん
breast,乳
breath,呼吸
breathe,息をします
brick,煉瓦
bridge,ブリッジ
brief,ブリーフ
briefly,簡単に
bright,明るい
brilliant,鮮やかさ
bring,持って来ます
British,英国の
broad,幅広いです
broken,壊れた
brother,兄
brown,褐色
brush,みがきます
buck,バック
budget,予算
build,ビルド
building,建物
bullet,弾丸
bunch,束
burden,重荷
burn,燃やす
bury,埋め込む
bus,バス
business,ビジネス
busy,忙しい
but,だが
butter,バター
button,ボタン
buy,購入
buyer,買い手
by,沿って
cabin,キャビン
cabinet,戸棚
cable,ケーブル
cake,ケーキ
calculate,計算
call,コール
camera,カメラ
camp,キャンプ
campaign,運動
campus,キャンパス
can,できる
Canadian,カナダの
cancer,癌
candidate,候補者
cap,キャップ
capability,能力
capable,できます
capacity,容量
capital,資本
captain,キャプテン
capture,キャプチャー
car,車
carbon,炭素
card,カード
care,お手入れ
career,キャリア
careful,注意深いです
carefully,注意深く
carrier,キャリアー
carry,運ぶ
case,場合
cash,現金
cast,キャスト
cat,ネコ
catch,キャッチ
category,カテゴリー
Catholic,カソリック
